platform,product_name,brand,pack_display,price_rupees,qty,unit,weight_grams,url
Zepto,Britannia Milk Slice White Bread,Britannia,400 g,55.0,,,400.0,
Zepto,The Health Factory Zero Maida Multigrain Bread | Clean Label - Not Brown,The Health Factory,375 g,78.0,,,375.0,
Zepto,Modern Milk Plus Bread,Modern,350 g,50.0,,,350.0,
Zepto,The Health Factory Zero Maida Milk Bread | Clean Label - Not Brown,The Health Factory,250 g,57.0,,,250.0,
Zepto,English Oven Milk Bread,English Oven,400 g,55.0,,,400.0,
Zepto,The Health Factory Zero Maida Protein Bread | Clean Label - Not Brown,The Health Factory,250 g,79.0,,,250.0,
Zepto,English Oven Sandwich White Bread,English Oven,400 g,55.0,,,400.0,
Zepto,The Health Factory Zero Maida Bombay Pav | Clean Label - Not Brown,The Health Factory,4 pc,38.0,4.0,pcs,,
Zepto,Brik Oven Whole Wheat Sourdough Bread,Brik Oven,400 g,108.0,,,400.0,
Zepto,Modern Baker's Loaf: High Protein Bread,Modern,350 g,81.0,,,350.0,
Zepto,Baker's Loaf Zero Preservatives Multigrain Bread,Baker's,350 g,77.0,,,350.0,
Zepto,Iyengars Bakery Special Bread,Iyengars,400 g,72.0,,,400.0,
Zepto,Protein Chef High Protein Brown Bread - No Maida Atta Bread,Protein Chef,270 g,59.0,,,270.0,
Zepto,Britannia Brown Bread,Britannia,400 g,60.0,,,400.0,
Zepto,Modern Sandwich Supreme White Bread,Modern,800 g,95.0,,,800.0,
Zepto,Naturbaked Zero Maida Superseed Bread,Naturbaked,300 g,66.0,,,300.0,
Zepto,The Baker's Dozen Zero Maida Milk Bread,The Baker's Dozen,230 g,50.0,,,230.0,
Zepto,Britannia Fruit Bread,Britannia,200 g,25.0,,,200.0,
Zepto,English Oven Garlic Bread,English Oven,200 g,38.0,,,200.0,
Zepto,Modern Cremtreat Vanilla Cream Bun,Modern,1 pc,10.0,1.0,pcs,,
Zepto,Modern Classic Sweet Bun,Modern,200 g,25.0,,,200.0,
Zepto,Britannia Pav,Britannia,200 g,35.0,,,200.0,
Zepto,Baker's Loaf Zero Maida No Palm Oil Bombay Pav by Modern,Modern,300 g,63.0,,,300.0,
Zepto,English Oven Sweet Buns,English Oven,200 g,30.0,,,200.0,
Zepto,The Health Factory Zero Maida Focaccia Sourdough,The Health Factory,160 g,69.0,,,160.0,
Zepto,Britannia Burger Bun with Sesame Seed,Britannia,200 g,35.0,,,200.0,
Zepto,English Oven Burger Bun,English Oven,200 g,40.0,,,200.0,
Zepto,English Oven Pav Bread,English Oven,200 g,35.0,,,200.0,
Zepto,The Baker's Dozen Zero Maida Protein Bread,The Baker's Dozen,240 g,69.0,,,240.0,
Zepto,The Baker's Dozen Country Sourdough No Palm Oil No Preservative,The Baker's Dozen,330 g,139.0,,,330.0,
Zepto,English Oven Zero Maida Pav,English Oven,200 g,45.0,,,200.0,
Zepto,The Baker's Dozen Zero Maida Milk Bread Combo,The Baker's Dozen,180 g,98.0,,,360.0,
JioMart,Wibs Mini Bread 200 g,Wibs,200 g,19.0,,,200.0,https://www.jiomart.com/p/groceries/wibs-mini-bread-200-g/608355598
JioMart,English Oven Brown Bread 400 g,English Oven,400 g,50.0,,,400.0,https://www.jiomart.com/p/groceries/english-oven-brown-bread-400-gm/490568743
JioMart,The Health Factory Whole Wheat Zero Maida Bread 350 g,The Health Factory,350 g,65.0,,,350.0,https://www.jiomart.com/p/groceries/the-health-factory-whole-wheat-zero-maida-bread-350-g/609450809
JioMart,The Health Factory Zero Maida Milk Bread 250 g,The Health Factory,250 g,60.0,,,250.0,https://www.jiomart.com/p/groceries/the-health-factory-zero-maida-milk-bread-250-g/611105512
JioMart,Britannia Milk Rusk Toastea 182 g,Britannia,182 g,26.0,,,182.0,https://www.jiomart.com/p/groceries/britannia-milk-rusk-182-g/590124468
JioMart,The Health Factory Zero Maida Bombay Pav 156 g,The Health Factory,156 g,40.0,,,156.0,https://www.jiomart.com/p/groceries/the-health-factory-maida-bombay-pav-156-g/609461121
JioMart,DELUSCIA MULTIGRAIN BREAD STICK,Deluscia,,99.0,,,,https://www.jiomart.com/p/groceries/deluscia-multigrain-bread-stick/612126626
JioMart,The Bake Shop Whole Wheat & Multigrain Toast,Unknown,,280.0,,,,https://www.jiomart.com/p/groceries/the-bake-shop-whole-wheat-multigrain-toast/597459799
JioMart,Gullon Sugar Free Short Bread Biscuits 330g,Gullon,330g,362.0,,,330.0,https://www.jiomart.com/p/groceries/gullon-sugar-free-short-bread-biscuits-330g/611350653
JioMart,Zero-G Bread Mix,Zero-g,,353.0,,,,https://www.jiomart.com/p/groceries/zero-g-bread-mix/596504040
JioMart,DELUSCIA COMBO PACK - MULTIGRAIN + MASALA BREAD STICKS,Deluscia,,178.0,,,,https://www.jiomart.com/p/groceries/deluscia-combo-pack-multigrain-masala-bread-sticks/612149164
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 100 Gram",Chatokde,100 G,169.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-100-gram/603022158
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 200 Gram",Chatokde,200 G,179.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-200-gram/603022160
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 250 Gram",Chatokde,250 G,199.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-250-gram/603022159
JioMart,The Bake Shop Milk & Raisin Toast,Unknown,,320.0,,,,https://www.jiomart.com/p/groceries/the-bake-shop-milk-raisin-toast/597459592
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 900 Gram",Chatokde,900 G,429.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-900-gram/603022162
JioMart,"CHATOKDE Nigella Seeds and Kalonji For Superfood,Indian Breads and Baked Goods , 500 Gram",Chatokde,500 G,279.0,,,,https://www.jiomart.com/p/groceries/chatokde-nigella-seeds-and-kalonji-for-superfood-indian-breads-and-baked-goods-500-gram/603022163
JioMart,DELUSCIA COMBO PACK - MULTIGRAIN BREAD STICK + BEETROOT CRACKERS,Deluscia,,225.0,,,,https://www.jiomart.com/p/groceries/deluscia-combo-pack-multigrain-bread-stick-beetroot-crackers/612148946
JioMart,DELUSCIA MASALA BREAD STICK,Deluscia,,99.0,,,,https://www.jiomart.com/p/groceries/deluscia-masala-bread-stick/612126924
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads -100 Gram,Dhawak,100 G,169.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-100-gram/612473112
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 200 gm,Dhawak,200 g,179.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-200-gm/612480257
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 400 gm,Dhawak,400 g,249.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-400-gm/612480574
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 500gm,Dhawak,500g,279.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-500gm/612481218
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 250gm,Dhawak,250g,199.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-250gm/612484326
JioMart,Dhawak Nigella Seeds and Kalonji For Superfood and Indian Breads - 900gm,Dhawak,900g,429.0,,,,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-900gm/612480953
JioMart,DHAWAK Nigella Seeds and Kalonji For Superfood and Indian Breads - 1kg,Dhawak,1kg,499.0,,,1000.0,https://www.jiomart.com/p/groceries/dhawak-nigella-seeds-and-kalonji-for-superfood-and-indian-breads-1kg/612481022
JioMart,The Health Factory Zero Maida Burger Bun 120 g,The Health Factory,120 g,37.0,,,120.0,https://www.jiomart.com/p/groceries/the-health-factory-zero-maida-burger-bun-120-g/611109885
Amazon Fresh,"Low GI Bread Loaf Set, 100g Each, 2 Salted and 2 Multigrain Salted Loaves - 4 MEAL SUBSTITUTES",Low,100g,236.0,,,100.0,
Amazon Fresh,"Modern Sandwich Supreme Bread, 400g",Modern,400g,45.0,,,400.0,
Amazon Fresh,"Modern Hi Fibre Brown Bread, 400g",Modern,400g,45.0,,,400.0,
Amazon Fresh,"Modern Multigrain Superseed Bread, 400 g",Modern,400 g,55.0,,,400.0,
Amazon Fresh,"Modern Atta Shakti Bread , 400g",Modern,400g,60.0,,,400.0,
Amazon Fresh,"Modern Fruity Bread, 200 g",Modern,200 g,25.0,,,200.0,
Amazon Fresh,The Baker's Dozen Zero Maida Banana Bread | Zero Palm Oil | Zero Trans Fat | With Natural Sweetness of Freshly Mashed Bananas,The Baker's Dozen,100 g,158.0,,,100.0,
Amazon Fresh,The Baker's Dozen Zero Maida Butter Garlic Toast | Zero Preservatives Flavoured with Garlic and Butter | Handcrafted with Love by Aditi Handa - Chef & Co-Founder | Pack of 1 X 90g.,The Baker's Dozen,90g,119.0,,,90.0,
Amazon Fresh,"Modern Enriched Sweet Bun, 200g",Modern,200g,25.0,,,200.0,
Amazon Fresh,"Modern Danish Bun, 60 gm",Modern,60 g,10.0,,,100.0,
Amazon Fresh,"Only Gluten Free Sourdough Grains & seed's loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,378.0,,,220.0,
Amazon Fresh,"Only Gluten Free 5 seed loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,348.0,,,220.0,
Amazon Fresh,"Only Gluten Free Traditional White Loaf Bread – 220g | Soft, Fresh, Tasty Gluten-Free Bread | 21-Day Shelf Life | Ideal for Sandwiches & Toast",Only Gluten Free,220g,298.0,,,220.0,
Amazon Fresh,The Baker's Dozen Zero Maida Lavash | Zero Palm Oil | Zero Trans Fat | Zero Preservative | Baked Not Fried | Crunchy Flatbread topped with Black and White Sesame Seeds,The Baker's Dozen,100 g,129.0,,,100.0,
